com.google.android.youtube
com.google.android.googlequicksearchbox
com.google.android.gm
com.google.android.apps.maps
com.android.chrome
com.whatsapp
com.google.android.videos
com.google.android.play.games
com.google.android.marvin.talkback
com.google.android.inputmethod.latin
com.google.android.apps.tachyon
com.google.android.apps.photos
com.facebook.orca
com.facebook.katana
org.telegram.messenger
com.viber.voip
com.twitter.android
com.spotify.music
com.snapchat.android
com.skype.raider
com.sec.android.app.voicenote
com.sec.android.app.shealth
com.sec.android.app.sbrowser
com.sec.android.app.popupcalculator
com.outfit7.mytalkingtomfree
com.netflix.mediaclient
com.mxtech.videoplayer.ad
com.microsoft.office.word
com.microsoft.office.excel
com.linkedin.android
com.lenovo.anyshare.gps
com.king.candycrushsaga
com.kiloo.subwaysurf
com.instagram.android
com.google.ar.lens
com.google.android.street
com.google.android.keep
com.google.android.ims
com.google.android.dialer
com.google.android.deskclock
com.google.android.contacts
com.google.android.calendar
com.google.android.calculator
com.google.android.apps.youtube.music
com.google.android.apps.translate
com.google.android.apps.nbu.files
com.google.android.apps.messaging
com.google.android.apps.magazines
com.google.android.apps.googleassistant
com.google.android.apps.docs.editors.slides
com.google.android.apps.docs.editors.sheets
com.google.android.apps.docs.editors.docs
com.google.android.apps.books
com.facebook.lite
com.dts.freefireth
com.dropbox.android
com.UCMobile.intl
video.like
us.zoom.videomeetings
sg.bigo.live
jp.naver.line.android
flipboard.app
com.youmusic.magictiles
com.whatsapp.w4b
com.ubercab
com.truecaller
com.tencent.ig
com.supercell.clashofclans
com.shazam.android
com.sec.android.app.music
com.samsung.android.oneconnect
com.samsung.android.app.watchmanager
com.roblox.client
com.pinterest
com.picsart.studio
com.outfit7.talkingtomgoldrun
com.outfit7.mytalkingtom2
com.outfit7.mytalkingangelafree
com.opera.mini.native
com.mobile.legends
com.miniclip.eightballpool
com.microsoft.office.outlook
com.microsoft.office.officehubrow
com.linecorp.b612.android
com.innersloth.spacemafia
com.imangi.templerun2
com.imangi.templerun
com.huawei.health
com.hp.android.printservice
com.halfbrick.fruitninjafree
com.google.audio.hearing.visualization.accessibility.scribe
com.google.android.apps.walletnfcrel
com.google.android.apps.subscriptions.red
com.google.android.apps.searchlite
com.google.android.apps.nbu.paisa.user
com.google.android.apps.navlite
com.google.android.apps.meetings
com.google.android.apps.mapslite
com.gameloft.android.ANMP.GloftDMHM
com.fungames.sniper3d
com.fingersoft.hillclimb
com.facebook.mlite
com.contextlogic.wish
com.camerasideas.instashot
com.booking
com.amazon.mShop.android.shopping
com.alibaba.aliexpresshd
com.adobe.reader
air.com.hypah.io.slither
zombie.survival.craft.z
wp.wattpad
vsin.t16_funny_photo
vinkle.video.editor
videoeditor.videorecorder.screenrecorder
video.reface.app
video.like.lite
video.downloader.videodownloader
vStudio.Android.Camera360
tv.twitch.android.app
tv.pluto.android
tunein.player
sixpack.sixpackabs.absworkout
sinet.startup.inDriver
screenrecorder.recorder.editor
ru.zdevs.zarchiver
ru.yandex.yandexnavi
ru.yandex.yandexmaps
ru.yandex.taxi
ru.ok.android
ru.mail.mailapp
photoeditor.layout.collagemaker
photo.editor.photoeditor.photoeditorpro
pampam.ibf2
paint.by.number.pixel.art.coloring.drawing.puzzle
org.zwanoo.android.speedtest
org.videolan.vlc
org.thoughtcrime.securesms
org.ppsspp.ppsspp
org.mozilla.firefox
nic.goi.aarogyasetu
net.zedge.android
musicplayer.musicapps.music.mp3player
mobi.gameguru.slapkings
media.music.musicplayer
me.zepeto.main
mbinc12.mb32b
kik.android
jpark.AOS5
jp.ne.ibis.ibispaintx.app
jp.naver.linecamera.android
io.voodoo.paper2
io.voodoo.holeio
io.faceapp
in.swiggy.android
in.mohalla.video
in.mohalla.sharechat
hotspotshield.android.vpn
homeworkout.homeworkouts.noequipment
hd.video.downloader.app.hdvideodownloaderapp
freeplay.crowdrun.com
free.vpn.unblock.proxy.turbovpn
free.video.downloader.freevideodownloader
free.os.jump.superbros.adventure.world
fi.twomenandadog.zombiecatchers
es.socialpoint.DragonCity
deezer.android.app
com.zzkko
com.zing.zalo
com.zhiliao.musically.livewallpaper
com.zentertain.photocollage
com.zakg.scaryteacher.hellgame
com.yy.hiyo
com.yy.biu
com.youdao.hindict
com.yodo1.crossyroad
com.yahoo.mobile.client.android.mail
com.xvideostudio.videoeditor
com.xiaomi.hm.health
com.wildspike.wormszone
com.weather.Weather
com.waze
com.vzw.hss.myverizon
com.vuclip.viu
com.vsco.cam
com.vng.g6.a.zombie
com.vkontakte.android
com.videoeditorpro.android
com.verizon.messaging.vzmsgs
com.utorrent.client
com.unicostudio.braintest
com.uncosoft.highheels
com.ufotosoft.justshot
com.uc.browser.en
com.ubercab.eats
com.ubercab.driver
com.tumblr
com.tubitv
com.tripadvisor.tripadvisor
com.tranzmate
com.transsion.phoenix
